nodeName	altName	nodeAttr[nodesPresent, ]
LOC101549109	NA	red
LOC101549139	NA	red
LOC101549400	NA	red
LOC101549664	NA	red
LOC101550058	NA	red
LOC101550305	NA	red
LOC101550374	NA	red
LOC101550512	NA	red
LOC101551001	NA	red
LOC101551138	NA	red
LOC101551537	NA	red
LOC101551542	NA	red
LOC101551622	NA	red
LOC101551916	NA	red
LOC101552522	NA	red
LOC101552541	NA	red
LOC101552909	NA	red
LOC101553277	NA	red
LOC101553752	NA	red
LOC101554032	NA	red
LOC101554148	NA	red
LOC101554283	NA	red
LOC101554454	NA	red
LOC101554607	NA	red
LOC101554810	NA	red
LOC101554876	NA	red
LOC101555205	NA	red
LOC101555392	NA	red
LOC101555440	NA	red
LOC101555455	NA	red
LOC101555694	NA	red
LOC101555794	NA	red
LOC101555821	NA	red
LOC101555885	NA	red
LOC101556206	NA	red
LOC101556455	NA	red
LOC101556583	NA	red
LOC101556911	NA	red
LOC101556935	NA	red
LOC101557259	NA	red
LOC101557490	NA	red
LOC101557802	NA	red
LOC101557980	NA	red
LOC101558882	NA	red
LOC101559021	NA	red
LOC101559056	NA	red
LOC105943015	NA	red
LOC105943076	NA	red
LOC105943127	NA	red
LOC105943219	NA	red
LOC105943253	NA	red
LOC105943272	NA	red
LOC129398801	NA	red
LOC129398803	NA	red
LOC129399094	NA	red
LOC129399141	NA	red
LOC129399411	NA	red
LOC129399427	NA	red
LOC129399431	NA	red
LOC129399626	NA	red
LOC129399634	NA	red
LOC129399645	NA	red
LOC129399649	NA	red
LOC129399710	NA	red
LOC129399873	NA	red
LOC129399950	NA	red
LOC129399967	NA	red
LOC129400027	NA	red
LOC129400050	NA	red
LOC129400110	NA	red
LOC129400137	NA	red
LOC129400212	NA	red
LOC129400787	NA	red
LOC129400849	NA	red
LOC129400881	NA	red
LOC129401016	NA	red
LOC129401759	NA	red
LOC129401865	NA	red
LOC129401998	NA	red
LOC129402033	NA	red
LOC129402055	NA	red
LOC129402079	NA	red
LOC129402135	NA	red
LOC129402158	NA	red
LOC129402190	NA	red
LOC129402242	NA	red
LOC129402261	NA	red
LOC129402273	NA	red
LOC129402378	NA	red
LOC129402386	NA	red
LOC129402446	NA	red
LOC129402476	NA	red
LOC129402558	NA	red
LOC129402883	NA	red
LOC129402931	NA	red
LOC129403258	NA	red
LOC129403273	NA	red
LOC129403284	NA	red
LOC129403333	NA	red
LOC129403387	NA	red
LOC129403390	NA	red
LOC129403408	NA	red
LOC129403577	NA	red
LOC129403585	NA	red
LOC129403643	NA	red
LOC129403669	NA	red
LOC129404238	NA	red
LOC129404266	NA	red
LOC129404292	NA	red
LOC129404414	NA	red
LOC129404823	NA	red
LOC129404909	NA	red
LOC129405023	NA	red
LOC129405080	NA	red
LOC129405116	NA	red
LOC129405136	NA	red
LOC129405517	NA	red
LOC129405518	NA	red
LOC129405525	NA	red
LOC129405546	NA	red
LOC129405554	NA	red
LOC129405607	NA	red
LOC129405613	NA	red
LOC129405657	NA	red
LOC129405773	NA	red
LOC129405785	NA	red
LOC129405879	NA	red
LOC129406066	NA	red
LOC129406068	NA	red
LOC129406105	NA	red
LOC129406118	NA	red
LOC129406396	NA	red
LOC129406465	NA	red
LOC129406483	NA	red
LOC129406488	NA	red
LOC129406505	NA	red
LOC129406507	NA	red
LOC129406584	NA	red
LOC129406585	NA	red
LOC129406593	NA	red
LOC129406682	NA	red
LOC129406755	NA	red
LOC129406787	NA	red
LOC129406885	NA	red
LOC129406936	NA	red
LOC129407109	NA	red
LOC129407134	NA	red
LONRF1	NA	red
LOX	NA	red
LPCAT3	NA	red
LPIN2	NA	red
LPIN3	NA	red
LRCH1	NA	red
LRFN3	NA	red
LRIG1	NA	red
LRP1	NA	red
LRP6	NA	red
LRRC14	NA	red
LRRC14B	NA	red
LRRC42	NA	red
LRRC58	NA	red
LRRC8C	NA	red
LRRFIP2	NA	red
LSG1	NA	red
LSM10	NA	red
LSM11	NA	red
LSM14A	NA	red
LSM4	NA	red
LSM7	NA	red
LTA4H	NA	red
LTB4R2	NA	red
LUC7L	NA	red
LYPLA2	NA	red
LYRM1	NA	red
LYRM9	NA	red
LYSET	NA	red
LYSMD3	NA	red
LYST	NA	red
MACF1	NA	red
